name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,202779539,,-83.8741075,35.9233806,,,,,
,2,202779542,,-83.8735729,35.9222825,,,,,
,3,202779582,,-83.9237346,35.9843432,,,,,
,4,202779584,signal,-83.9222975,35.9840057,,,,,
,5,202779589,,-83.9202112,35.9835157,,,,,
,6,202779594,,-83.9194241,35.9833102,,,,,
,7,202779587,,-83.9212476,35.9837591,,,,,
,8,2488141957,,-83.9608858,35.9434084,,,,,
,9,202779606,,-83.9594526,35.9436520,,,,,
,10,202779611,,-83.9590226,35.9416385,,,,,
,11,202779622,,-84.0295302,35.9261309,,,,,
,12,202779625,,-84.0300271,35.9260190,,,,,
,13,202779633,,-83.9095657,36.0496013,,,,,
,14,202779664,,-83.9109298,36.0511301,,,,,
,15,202779683,,-83.9071863,35.9800985,,,,,
,16,202779687,,-83.9074215,35.9805574,,,,,
,17,202779677,,-83.9067192,35.9791584,,,,,
,18,202779695,,-83.9655133,35.9330167,,,,,
,19,202779700,,-83.9648857,35.9321871,,,,,
,20,202779704,,-83.9641025,35.9310013,,,,,
,21,202779731,,-84.0189010,35.9534470,,,,,
,22,202779746,,-84.0215863,35.9548708,,,,,
,23,5710570302,,-84.0157007,35.9518846,,,,,
,24,4596948842,,-84.0173011,35.9529629,,,,,
,25,202780286,,-83.7799851,36.0211438,,,,,
,26,202780303,,-83.7796073,36.0197823,,,,,
,27,202780721,,-83.8103410,36.0183576,,,,,
,28,202780724,,-83.8103196,36.0182135,,,,,
,29,202780716,,-83.8104168,36.0188420,,,,,
,30,202996042,,-83.8044390,36.0204804,,,,,
,31,202781172,,-83.9183653,35.9273161,,,,,
,32,202781178,,-83.9184011,35.9272830,,,,,
,33,12899457014,,-84.0151357,35.9397549,,,,,
,34,202781338,,-84.0152092,35.9398237,,,,,
,35,202781330,,-84.0146078,35.9394536,,,,,
,36,202781647,,-83.9077115,36.0025501,,,,,
,37,202781657,,-83.9073456,36.0022193,,,,,
,38,1092304333,,-84.0974620,35.9165249,,,,,
,39,12905986993,,-84.0915838,35.9166817,,,,,
,40,1864736506,,-84.0913151,35.9187925,,,,,
,41,1864736505,,-84.0952255,35.9172553,,,,,
,42,9622070817,,-83.8570074,36.0043479,,,,,
,43,3124968569,,-83.8558275,36.0048083,,,,,
,44,9622057116,,-83.8572829,36.0042396,,,,,
